id,id_seller,id_weight,name,description,price,photo_url
1,1,1,Bawal,Ducimus eveniet assumenda eaque.,20070,https://picsum.photos/640/480
2,2,2,Nila,Ipsam deserunt consectetur a possimus amet dolores vel.,28854,https://dummyimage.com/640x480
3,3,3,Bawal,Culpa voluptatem repellat saepe ducimus porro quod id sequi dolore dolore tenetur dolorum.,32914,https://placekitten.com/640/480
4,4,4,Kembung,Expedita cumque excepturi quo reiciendis ea magnam.,30554,https://dummyimage.com/640x480
5,5,5,Bandeng,Voluptatibus laborum ad aut necessitatibus alias blanditiis temporibus excepturi impedit beatae laboriosam.,23881,https://dummyimage.com/640x480
6,6,6,Kembung,Iste quasi velit commodi harum at impedit repellendus repudiandae vel sit dolore aliquid.,28413,https://picsum.photos/640/480
7,7,7,Tongkol,Accusantium quidem perspiciatis ab adipisci exercitationem illo.,17623,https://placekitten.com/640/480
8,8,8,Lele,Vel odit quasi non occaecati sequi aliquam.,20116,https://dummyimage.com/640x480
9,9,9,Gurame,Voluptate possimus quaerat tempore eum totam exercitationem excepturi ipsum nobis commodi quas placeat.,20776,https://dummyimage.com/640x480
10,10,10,Sotong,Nam eos distinctio omnis quidem deserunt omnis perspiciatis quo amet nihil.,17711,https://placekitten.com/640/480
11,11,11,Sarden,Harum corporis fugiat at ducimus optio alias.,24072,https://placekitten.com/640/480
12,12,12,Nila,Exercitationem voluptates consequatur ad eaque expedita corrupti sed mollitia deserunt adipisci assumenda non incidunt magni voluptatum distinctio assumenda.,25454,https://placekitten.com/640/480
13,13,13,Kerapu,Reiciendis quas molestiae eaque minus vel animi quis vel.,34347,https://placekitten.com/640/480
14,14,14,Belanak,Ipsam eaque excepturi quaerat nisi veritatis excepturi voluptatem odio.,18648,https://picsum.photos/640/480
15,15,15,Patin,Similique mollitia beatae quibusdam consequuntur dolorem aliquid expedita in nostrum iusto qui iusto veritatis ducimus debitis maxime.,30172,https://picsum.photos/640/480
16,16,16,Salmon,Perspiciatis ipsum ab adipisci similique aut delectus repellat laudantium ut tempora.,21680,https://picsum.photos/640/480
17,17,17,Sotong,Deserunt ullam suscipit eum sunt fugit voluptas repudiandae aperiam quidem dignissimos velit magni aperiam quam aliquam expedita.,15616,https://dummyimage.com/640x480
18,18,18,Kakap Putih,Consectetur repudiandae dolorum facere praesentium inventore temporibus iste minima quidem deleniti cumque hic autem tempore temporibus.,23279,https://picsum.photos/640/480
19,19,19,Udang Windu,Officia fugiat labore voluptatibus accusamus aspernatur tempora labore veniam deserunt.,30191,https://picsum.photos/640/480
20,20,20,Layang,Temporibus error unde quae aspernatur vel animi officia pariatur animi ut facilis veritatis.,28983,https://placekitten.com/640/480
21,21,21,Rajungan,Quasi eius numquam sint assumenda officia nostrum repellendus iure minus deleniti temporibus velit.,18331,https://picsum.photos/640/480
22,22,22,Belanak,Soluta nemo quasi maxime sint nulla veniam a enim.,24091,https://placekitten.com/640/480
23,23,23,Layang,Magnam consequatur laborum ut libero beatae illum culpa nemo eligendi ipsum praesentium aut harum consectetur.,26819,https://dummyimage.com/640x480
24,24,24,Kerapu,Placeat maiores alias velit saepe distinctio.,26948,https://dummyimage.com/640x480
25,25,25,Kakap Merah,Recusandae et quos libero sit accusantium dolores ullam doloribus.,30244,https://placekitten.com/640/480
26,26,26,Teri,Qui dolores accusamus praesentium culpa tempore nemo earum aut.,23061,https://placekitten.com/640/480
27,27,27,Udang Windu,Nostrum nulla incidunt quae repellendus dolore magni voluptas optio possimus iste nostrum neque.,16899,https://dummyimage.com/640x480
28,28,28,Kembung,Placeat non quo voluptatum deserunt consectetur eos nobis reprehenderit.,20469,https://placekitten.com/640/480
29,29,29,Udang Windu,Deleniti error earum quibusdam natus modi.,23655,https://placekitten.com/640/480
30,30,30,Patin,Ipsum numquam necessitatibus reprehenderit vel libero rerum aperiam necessitatibus fuga dolores nostrum alias laboriosam veniam natus ipsa adipisci.,19734,https://placekitten.com/640/480
31,31,31,Udang Vaname,Deserunt aliquid ad totam omnis adipisci accusamus doloremque voluptas cupiditate nihil repellat debitis eligendi libero occaecati tempora accusamus.,17411,https://placekitten.com/640/480
32,32,32,Patin,Error maxime nisi fugiat voluptatibus voluptatibus ipsa voluptatibus id reiciendis dolor labore deleniti illum.,25135,https://placekitten.com/640/480
33,33,33,Tuna,Itaque a in reprehenderit nulla sunt labore commodi.,25364,https://dummyimage.com/640x480
