id,weight
1,257
2,144
3,108
4,138
5,278
6,218
7,156
8,264
9,120
10,169
11,214
12,184
13,278
14,227
15,228
16,204
17,270
18,294
19,129
20,204
21,295
22,119
23,285
24,183
25,103
26,156
27,251
28,276
29,275
30,106
31,197
32,243
33,181
34,163
35,247
36,157
37,180
38,278
39,140
40,132
41,262
42,216
43,263
44,133
45,147
46,107
47,200
48,186
49,223
50,218
51,255
52,221
53,161
54,142
55,195
56,148
57,273
58,125
59,290
60,155
61,154
62,178
63,162
64,220
65,228
66,234
67,124
68,106
69,188
70,189
71,213
72,207
73,155
74,139
75,183
76,260
77,123
78,193
79,105
80,282
81,167
82,284
83,114
84,270
85,226
86,218
87,199
88,144
89,261
90,153
91,279
92,227
93,162
94,237
95,283
96,192
97,128
98,111
99,142
100,103
101,230
102,279
103,107
104,163
105,198
106,247
107,280
108,175
109,206
110,182
111,130
112,153
113,268
114,120
115,288
116,207
117,216
118,228
119,202
120,242
121,210
122,198
123,174
124,114
125,274
126,299
127,141
128,113
129,220
130,111
131,290
132,193
133,229
134,148
135,230
136,300
137,195
138,229
139,207
140,229
141,230
142,234
143,144
144,178
145,153
146,297
147,274
148,150
149,288
150,182
151,248
152,182
153,213
154,158
155,173
156,216
157,191
158,267
159,231
160,161
161,168
162,195
163,128
164,154
165,179
166,233
167,101
168,184
169,136
170,191
171,276
172,119
173,151
174,193
175,260
176,176
177,119
178,214
179,300
180,114
181,235
182,270
183,264
184,110
185,287
186,231
187,233
188,257
189,153
190,261
191,295
192,200
193,249
194,207
195,182
196,101
197,285
198,216
199,266
200,280
201,206
202,190
203,240
204,272
205,223
206,109
207,290
208,264
209,203
210,151
211,220
212,117
213,278
214,272
215,129
216,275
217,184
218,217
219,292
220,146
221,171
222,199
223,241
224,183
225,112
226,115
227,163
228,141
229,299
230,259
231,244
232,248
233,109
234,290
235,131
236,193
237,282
238,194
239,243
240,299
241,278
242,173
243,208
244,220
245,188
246,199
247,267
248,235
249,276
250,109
251,271
252,253
253,116
254,240
255,151
256,292
257,170
258,212
259,121
260,136
261,123
262,274
263,262
264,129
265,121
266,248
267,283
268,220
269,262
270,155
271,272
272,197
273,238
274,277
275,169
276,158
277,180
278,215
279,174
280,170
281,241
282,151
283,123
284,214
285,181
286,274
287,178
288,146
289,200
290,284
291,270
292,216
293,171
294,255
295,297
296,185
297,197
298,193
299,148
300,185
301,296
302,171
303,235
304,216
305,193
306,272
307,242
308,179
309,238
310,103
311,127
312,182
313,212
314,160
315,226
316,127
317,168
318,153
319,267
320,254
321,255
322,242
323,135
324,132
325,173
326,108
327,214
328,203
329,172
330,146
331,152
332,102
333,183
334,227
335,201
336,136
337,115
338,155
339,181
340,289
341,271
342,191
343,299
344,123
345,176
346,239
347,174
348,264
349,223
350,104
351,259
352,237
353,272
354,294
355,192
356,279
357,283
358,294
359,269
360,291
361,180
362,233
363,290
364,170
365,109
366,201
367,268
368,194
369,112
370,199
371,168
372,232
373,217
374,243
375,225
376,105
377,136
378,194
379,223
380,166
381,122
382,274
383,132
384,133
385,268
386,248
387,106
388,165
389,216
390,212
391,177
392,204
393,111
394,143
395,159
396,262
397,185
398,264
399,262
400,230
401,217
402,251
403,223
404,110
405,134
406,238
407,275
408,106
409,190
410,288
411,137
412,154
413,123
414,283
415,118
416,103
417,184
418,126
419,267
420,185
421,166
422,180
423,106
424,140
425,122
426,133
427,136
428,126
429,212
430,283
431,255
432,204
433,295
434,295
435,158
436,122
437,237
438,144
439,188
440,120
441,141
442,126
443,223
444,153
445,120
446,120
447,130
448,167
449,176
450,207
451,277
452,148
453,239
454,179
455,175
456,134
457,228
458,171
459,190
460,236
461,177
462,275
463,270
464,229
465,239
466,263
467,274
468,200
469,233
470,212
471,203
472,270
473,270
474,177
475,240
476,256
477,259
478,300
479,119
480,180
481,293
482,199
483,233
484,296
485,185
486,197
487,181
488,256
489,250
490,124
491,269
492,113
493,294
494,271
495,207
496,269
497,136
498,249
499,294
500,265
501,238
502,296
503,299
504,202
505,294
506,129
507,213
508,274
509,190
510,225
511,108
512,176
513,125
514,155
515,194
516,194
517,164
518,266
519,220
520,168
521,232
522,249
523,245
524,189
525,125
526,208
527,148
528,236
529,229
530,210
531,111
532,214
533,129
534,148
535,158
536,281
537,297
538,139
539,136
540,286
541,285
542,272
543,139
544,145
545,180
546,299
547,135
548,286
549,230
550,251
551,181
552,284
553,136
554,271
555,149
556,147
557,133
558,125
559,280
560,212
561,276
562,217
563,255
564,189
565,164
566,150
567,138
568,155
569,229
570,150
571,193
572,128
573,279
574,278
575,160
576,145
577,161
578,255
579,181
580,106
581,299
582,149
583,145
584,286
585,170
586,162
587,264
588,125
589,161
590,205
591,242
592,278
593,199
594,100
595,289
596,167
597,231
598,111
599,194
600,115
601,293
602,141
603,234
604,118
605,121
606,291
607,114
608,148
609,270
610,244
611,258
612,124
613,163
614,112
615,285
616,240
617,223
618,219
619,162
620,285
621,152
622,280
623,223
624,149
625,248
626,239
627,179
628,147
629,300
630,295
631,230
632,214
633,187
634,293
635,251
636,121
637,232
638,192
639,220
640,212
641,262
642,152
643,170
644,113
645,192
646,255
647,203
648,108
649,111
650,182
651,123
652,206
653,172
654,240
655,246
656,197
657,269
658,130
659,263
660,248
661,185
662,178
663,208
664,296
665,106
666,225
667,122
668,244
669,211
670,276
671,210
672,221
673,242
674,193
675,296
676,103
677,165
678,250
679,189
680,258
681,176
682,160
683,117
684,202
685,119
686,108
687,270
688,254
689,116
690,103
691,145
692,181
693,175
694,142
695,138
696,243
697,285
698,295
699,168
700,165
701,238
702,139
703,192
704,260
705,128
706,121
707,183
708,198
709,115
710,121
711,207
712,298
713,280
714,148
715,282
716,184
717,186
718,209
719,188
720,256
721,206
722,186
723,284
724,300
725,277
726,124
