id,id_seller,id_weight,name,description,price,photo_url
1,1,1,Kepiting Bakau,Aut fugit neque corrupti sequi perferendis unde cupiditate.,31577,https://placekitten.com/640/480
2,2,2,Nila,Laborum dolore deserunt veniam rerum fuga ipsa est tenetur cupiditate vitae nobis saepe.,16092,https://placekitten.com/640/480
3,3,3,Kakap Merah,Sint velit mollitia accusamus architecto tenetur accusamus amet laboriosam nihil veniam delectus.,26170,https://picsum.photos/640/480
4,4,4,Bawal,Odio totam ducimus sint dolores atque quod nemo nihil dolorem voluptates iste fugit inventore.,26054,https://placekitten.com/640/480
5,5,5,Kepiting Bakau,Qui adipisci itaque nisi perferendis dolore.,25309,https://placekitten.com/640/480
6,6,6,Bandeng,Accusantium sit quas tempora incidunt dolores ad natus quasi repellat perferendis.,19503,https://placekitten.com/640/480
7,7,7,Sarden,Dolorum nesciunt repellendus cum harum tempora quia repellat quaerat voluptates nemo odio quo nihil.,22961,https://dummyimage.com/640x480
8,8,8,Salmon,Dolor fugit labore aut nesciunt aperiam.,21891,https://placekitten.com/640/480
9,9,9,Kembung,Voluptate reprehenderit accusantium doloremque sapiente totam quo ad nesciunt est eligendi quae atque.,23956,https://dummyimage.com/640x480
10,10,10,Patin,Deserunt error assumenda qui dicta quo quas ipsum repellat optio nobis.,26238,https://picsum.photos/640/480
11,11,11,Lele,Nihil sit eveniet tenetur hic facere voluptatibus repellendus officiis cum ex saepe alias.,30357,https://dummyimage.com/640x480
12,12,12,Patin,Ab dicta mollitia dolorem reiciendis adipisci cum exercitationem architecto animi expedita cupiditate labore asperiores alias reprehenderit harum.,21044,https://dummyimage.com/640x480
13,13,13,Udang Vaname,Est odio fugiat in dolores aspernatur harum hic recusandae ratione mollitia laborum aut.,25213,https://picsum.photos/640/480
14,14,14,Udang Windu,Mollitia neque consequatur laudantium facilis qui explicabo nihil consequuntur doloribus sit sunt fuga tempora ducimus iusto enim nam.,20407,https://picsum.photos/640/480
15,15,15,Tongkol,Iusto harum fugiat eum autem itaque corrupti quam officia repudiandae dignissimos saepe eveniet repellendus nulla.,24191,https://dummyimage.com/640x480
16,16,16,Kakap Putih,Fugiat sit quidem ut at quia doloribus ab.,22239,https://placekitten.com/640/480
17,17,17,Cumi-cumi,Perferendis laboriosam explicabo nobis rem qui corporis quis itaque soluta voluptate alias in.,15525,https://dummyimage.com/640x480
18,18,18,Kakap Merah,Ab porro aperiam totam maiores amet accusamus eos magnam dolorem nam voluptatibus illo at numquam odio quo.,29128,https://placekitten.com/640/480
19,19,19,Udang Vaname,Dignissimos accusamus adipisci odio necessitatibus doloribus ipsam quae cumque tempora omnis mollitia placeat nostrum cumque.,29112,https://placekitten.com/640/480
20,20,20,Layang,Rerum hic odit a iste cupiditate autem corporis modi dolorum voluptate temporibus.,25478,https://placekitten.com/640/480
21,21,21,Makarel,Tempora necessitatibus iusto culpa aspernatur placeat autem sunt laborum quidem.,33652,https://placekitten.com/640/480
22,22,22,Udang Vaname,Saepe nulla minima harum magni deleniti cum magni.,20565,https://placekitten.com/640/480
23,23,23,Belanak,Totam nihil suscipit facilis quod maiores.,18971,https://picsum.photos/640/480
24,24,24,Cakalang,Ex voluptatibus culpa laudantium ducimus cupiditate natus officia ut veniam aperiam debitis excepturi.,23709,https://picsum.photos/640/480
25,25,25,Kembung,Incidunt doloribus inventore dignissimos est temporibus exercitationem odio culpa id aliquam debitis nam natus.,21826,https://placekitten.com/640/480
26,26,26,Kerapu,Mollitia dolores aliquam et dolores facere ipsum quisquam natus debitis.,27989,https://placekitten.com/640/480
27,27,27,Bandeng,Eos ipsam deserunt aliquam ad dolore facilis deleniti beatae magni quod sed nihil quis harum minus.,31454,https://picsum.photos/640/480
28,28,28,Cumi-cumi,Necessitatibus totam atque esse dicta dolor doloremque explicabo illum.,17337,https://placekitten.com/640/480
29,29,29,Bandeng,Similique beatae maiores suscipit maiores perferendis adipisci nobis accusamus ullam ad quaerat magnam repudiandae debitis voluptates.,26292,https://dummyimage.com/640x480
