id,weight
1,121
2,234
3,288
4,176
5,109
6,138
7,140
8,101
9,196
10,157
11,168
12,231
13,164
14,188
15,158
16,150
17,196
18,164
19,136
20,274
21,160
22,217
23,121
24,128
25,251
26,186
27,121
28,111
29,166
30,282
31,217
32,255
33,213
34,246
35,152
36,165
37,208
38,277
39,198
40,210
41,171
42,125
43,163
44,273
45,299
46,182
47,133
48,123
49,124
50,127
51,190
52,127
53,224
54,241
55,236
56,247
57,145
58,159
59,264
60,144
61,289
62,166
63,162
64,240
65,233
66,101
67,143
68,127
69,155
70,203
71,247
72,166
73,262
74,230
75,199
76,128
77,295
78,154
79,216
80,222
81,150
82,116
83,202
84,188
85,248
86,161
87,181
88,160
89,200
90,120
91,133
92,201
93,142
94,236
95,199
96,272
97,212
98,289
99,231
100,211
101,287
102,161
103,273
104,160
105,271
106,115
107,241
108,122
109,121
110,299
111,264
112,145
113,213
114,123
115,191
116,250
117,268
118,222
119,101
120,156
121,130
122,114
123,180
124,225
125,193
126,266
127,206
128,147
129,226
130,218
131,273
132,230
133,245
134,165
135,143
136,150
137,122
138,175
139,287
140,289
141,250
142,183
143,157
144,115
145,108
146,156
147,168
148,224
149,129
150,101
151,295
152,157
153,197
154,172
155,177
156,289
157,108
158,248
159,147
160,189
161,163
162,164
163,186
164,182
165,111
166,198
167,229
168,280
169,132
170,269
171,112
172,122
173,100
174,293
175,186
176,250
177,206
178,282
179,186
180,269
181,116
182,176
183,134
184,107
185,237
186,249
187,241
188,188
189,281
190,132
191,228
192,175
193,146
194,235
195,195
196,215
197,223
198,294
199,146
200,265
