id,id_seller,id_weight,name,description,price,photo_url
1,1,1,Nila,Nihil delectus accusantium sapiente rem ratione deleniti.,18242,https://picsum.photos/640/480
2,2,2,Patin,Deserunt perferendis at eveniet fugit fugiat eius enim delectus aspernatur.,29633,https://dummyimage.com/640x480
3,3,3,Belanak,Consequuntur hic culpa perspiciatis perspiciatis voluptates itaque ullam.,29267,https://picsum.photos/640/480
4,4,4,Cumi-cumi,Voluptates vel architecto consectetur id excepturi alias ab dolorum provident sed repellendus.,16496,https://dummyimage.com/640x480
5,5,5,Udang Windu,Sunt qui sit molestias esse molestiae fuga et neque.,24565,https://placekitten.com/640/480
6,6,6,Kerapu,Cum minima quidem velit sunt mollitia hic optio asperiores impedit atque quae.,18262,https://dummyimage.com/640x480
7,7,7,Sarden,Ut debitis qui quia exercitationem modi voluptatibus soluta temporibus impedit quam mollitia.,19617,https://picsum.photos/640/480
8,8,8,Selar,Ea veniam optio vitae adipisci perferendis libero aliquam officia accusamus praesentium cum aliquam illo iusto amet voluptates.,18051,https://dummyimage.com/640x480
9,9,9,Makarel,Accusamus reiciendis optio modi cupiditate quos ratione maiores necessitatibus eligendi cupiditate.,29162,https://picsum.photos/640/480
10,10,10,Layang,Aliquam at odio laborum aspernatur porro vel cupiditate explicabo rem.,31851,https://picsum.photos/640/480
11,11,11,Layang,Iure atque explicabo facere maiores perferendis ab perspiciatis fugiat unde quo.,16083,https://placekitten.com/640/480
12,12,12,Kerapu,Illum enim delectus expedita minima voluptas.,33338,https://dummyimage.com/640x480
13,13,13,Selar,Quae doloribus explicabo commodi numquam nam ad.,33424,https://dummyimage.com/640x480
14,14,14,Cumi-cumi,Quisquam fugiat doloribus voluptas praesentium quisquam non corporis perferendis quis aut culpa assumenda facilis.,29772,https://dummyimage.com/640x480
15,15,15,Kakap Putih,Nihil quisquam alias assumenda earum reiciendis laudantium fugit recusandae distinctio.,29793,https://dummyimage.com/640x480
16,16,16,Sotong,Ducimus inventore minima repellendus natus aliquid placeat ipsam.,29840,https://placekitten.com/640/480
17,17,17,Cumi-cumi,Totam nisi suscipit in nihil incidunt corporis quibusdam consequuntur.,31974,https://dummyimage.com/640x480
18,18,18,Kerapu,Ea vero occaecati maiores tempore explicabo optio sed quaerat praesentium quos illo nihil veniam.,21920,https://dummyimage.com/640x480
19,19,19,Sarden,Ad doloremque possimus ea nemo nesciunt unde officiis omnis incidunt natus harum suscipit sequi totam maiores.,28254,https://dummyimage.com/640x480
20,20,20,Kakap Putih,Quis vel odit id saepe aliquid provident optio natus odit earum cumque fugit.,31023,https://picsum.photos/640/480
21,21,21,Makarel,Porro voluptate totam tempora suscipit ipsa explicabo similique incidunt vero necessitatibus eveniet iure dolorum mollitia.,20372,https://dummyimage.com/640x480
