id,weight
1,161
2,247
3,173
4,196
5,161
6,153
7,207
8,107
9,221
10,148
11,171
12,108
13,192
14,262
15,160
16,292
17,184
18,287
19,191
20,262
21,211
22,142
23,287
24,273
25,155
26,262
27,122
28,300
29,103
30,232
31,247
32,201
33,294
34,258
35,119
36,207
37,278
38,271
39,152
40,247
41,195
42,160
43,236
44,171
45,202
46,205
47,200
48,252
49,278
50,140
51,221
52,299
53,166
54,142
55,151
56,132
57,124
58,186
59,291
60,130
61,274
62,110
63,237
64,173
65,135
66,284
67,290
68,163
69,144
70,171
71,150
72,278
73,158
74,273
75,169
76,197
77,213
78,258
79,262
80,172
81,225
82,112
83,216
84,240
85,129
86,223
87,194
88,229
89,112
90,227
91,219
92,201
93,236
94,157
95,146
96,282
97,120
98,120
99,109
100,300
101,114
102,295
103,294
104,251
105,278
106,197
107,210
108,218
109,101
110,119
111,132
112,269
113,200
114,187
115,160
116,199
117,299
118,171
119,298
120,170
121,174
122,196
123,194
124,247
125,203
126,214
127,130
128,271
129,115
130,231
131,241
132,147
133,174
134,147
135,201
136,212
137,287
138,188
139,296
140,154
141,261
142,155
143,160
144,297
145,200
146,167
147,221
148,198
149,227
150,293
151,223
152,149
153,198
154,158
155,191
156,231
157,240
158,244
159,256
160,223
161,169
162,204
163,212
164,233
165,126
166,298
167,237
168,237
169,237
170,187
171,102
172,202
173,155
174,237
175,166
176,300
177,141
178,288
179,298
180,292
181,119
182,259
183,291
184,251
185,239
186,110
187,140
188,222
189,205
190,229
191,273
192,277
193,217
194,117
195,101
196,199
197,131
198,292
199,135
200,240
201,267
202,173
203,115
204,192
205,190
206,182
207,240
208,238
209,134
210,122
211,145
212,177
213,112
214,197
215,186
216,230
217,254
218,174
219,293
220,255
221,105
222,283
223,244
224,175
225,298
226,184
227,118
228,133
229,300
230,139
231,221
232,226
233,124
234,105
235,145
236,113
237,214
238,238
239,165
240,110
241,268
242,101
243,120
244,284
245,217
246,188
247,195
248,284
249,208
250,118
251,272
252,216
253,182
254,243
255,204
256,206
257,101
258,166
259,208
260,141
261,111
262,259
263,165
264,250
265,243
266,187
267,139
268,297
269,228
270,244
271,271
272,220
273,262
274,257
275,201
276,237
277,154
278,222
279,265
280,289
281,267
282,188
283,196
284,200
285,197
286,205
287,184
288,186
289,219
290,236
291,218
292,286
293,299
294,286
295,243
296,249
297,199
298,202
299,150
300,116
301,294
302,234
303,252
304,104
305,278
306,150
307,289
308,210
309,129
310,239
311,183
312,279
313,248
314,257
315,164
316,269
317,130
318,297
319,207
320,140
321,159
322,153
323,216
324,129
325,279
326,153
327,184
328,125
329,294
330,199
331,297
332,237
333,122
334,268
335,284
336,242
337,151
338,271
339,203
340,240
341,273
342,220
343,280
344,117
345,263
346,176
347,236
348,215
349,112
350,155
351,279
352,215
353,141
354,115
355,105
356,287
357,228
358,276
359,223
360,130
361,154
362,176
363,217
364,137
365,126
366,294
367,249
368,293
369,175
370,133
371,160
372,223
373,290
374,266
375,123
376,257
377,222
378,147
379,138
380,116
381,271
382,207
383,204
384,270
385,220
386,217
387,277
388,110
389,249
390,179
391,291
392,174
393,153
394,186
395,134
396,261
397,242
398,214
399,145
400,124
401,296
402,125
403,209
404,275
405,226
406,148
407,219
408,228
409,101
410,297
411,218
412,287
413,137
414,233
415,249
416,118
417,161
418,174
419,208
420,100
421,190
422,250
423,266
424,240
425,160
426,189
427,192
428,167
429,112
430,218
431,119
432,178
433,130
434,273
435,105
436,291
437,188
438,292
439,232
440,248
441,167
442,151
443,266
444,256
445,298
446,288
447,147
448,144
449,133
450,187
451,227
452,152
453,249
454,161
455,194
456,283
457,222
458,271
459,266
460,290
461,194
462,146
463,156
464,118
465,174
466,129
467,187
468,179
469,271
470,240
471,195
472,146
473,100
474,202
475,134
476,212
477,100
478,206
479,137
480,236
481,116
482,117
483,186
484,277
485,156
486,227
487,186
488,165
489,181
490,208
491,185
492,241
493,137
494,216
495,222
496,184
497,232
498,201
499,270
500,155
